,,SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED
2,HOSPITALIZED,0,0,0,0,0,0,0,0.045,0.005,0,0.95
2,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.5,0.5,0
2,DEATH,0,0,0,0,0,0,0,0,1,0,0
2,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
2,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
3,SUSCEPTIBLE,0,0.332,0.614,0.054,0,0,0,0,0,0,0
3,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
3,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
3,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
3,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
3,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.069,0,0,0,0.931
3,HOSPITALIZED,0,0,0,0,0,0,0,0.045,0.005,0,0.95
3,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.5,0.5,0
3,DEATH,0,0,0,0,0,0,0,0,1,0,0
3,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
3,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
4,SUSCEPTIBLE,0,0.296,0.616,0.088,0,0,0,0,0,0,0
4,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
4,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
4,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
4,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
4,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.219,0,0,0,0.781
4,HOSPITALIZED,0,0,0,0,0,0,0,0.0504,0.0126,0,0.937
4,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.5,0.5,0
4,DEATH,0,0,0,0,0,0,0,0,1,0,0
4,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
4,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
5,SUSCEPTIBLE,0,0.265,0.602,0.133,0,0,0,0,0,0,0
5,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
5,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
5,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
5,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
5,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.279,0,0,0,0.721
5,HOSPITALIZED,0,0,0,0,0,0,0,0.0976,0.0244,0,0.878
5,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.69,0.31,0
5,DEATH,0,0,0,0,0,0,0,0,1,0,0
5,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
5,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
6,SUSCEPTIBLE,0,0.238,0.571,0.191,0,0,0,0,0,0,0
6,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
6,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
6,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
6,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
6,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.37,0,0,0,0.63
6,HOSPITALIZED,0,0,0,0,0,0,0,0.1096,0.1644,0,0.726
6,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.65,0.35,0
6,DEATH,0,0,0,0,0,0,0,0,1,0,0
6,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
6,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
7,SUSCEPTIBLE,0,0.214,0.523,0.263,0,0,0,0,0,0,0
7,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
7,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
7,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
7,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
7,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.391,0,0,0,0.609
7,HOSPITALIZED,0,0,0,0,0,0,0,0.1728,0.2592,0,0.568
7,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.88,0.12,0
7,DEATH,0,0,0,0,0,0,0,0,1,0,0
7,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
7,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
8,SUSCEPTIBLE,0,0.192,0.461,0.347,0,0,0,0,0,0,0
8,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
8,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
8,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
8,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
8,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.379,0,0,0,0.621
8,HOSPITALIZED,0,0,0,0,0,0,0,0.03545,0.67355,0,0.291
8,CRITICAL_ICU,0,0,0,0,0,0,0,0,1,0,0
8,DEATH,0,0,0,0,0,0,0,0,1,0,0
8,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
8,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
